"Keyword","Average Monthly Searches","Rank 1","0.25","Rank 2","0.15","Rank 3","0.1","Rank 4","0.07","Rank 5","0.05","Rank 6","0.03","Rank 7","0.02","Rank 8","0.02","Rank 9","0.02","Rank 10","0.02"
"seguro de vida"," 6600","Condusef Gob",1650,"Metlife",990,"Condusef Gob",660,"Segurosbancomer",462.00000000000006,"Gnp",330,"Mapfre",198,"Axa",132,"Banamex",132,"Generaldeseguros",132,"Google News",132
"aseguradoras"," 4400","Amis",660,"Cnsf Gob  :8090",440,"Segurosdeautos",308.00000000000006,"Autocompara",220,"Enciclopediafinanciera",132,"Google News",88,"Nadaessegurotusegurosi",88,"Abchospital",88,"Rankia",88,"Directorio",88
"cotizar seguro"," 1900","Autocompara",475,"Segurointeligente",285,"Axa",190,"Cotizatuseguro Hdi",133,"Qualitas",95,"Mapfre",57,"Segurosbanamex",38,"Wibe",38,"Elaguila",38,"S",38
"seguro medico"," 1300","Metlife",325,"Metlife",195,"Axa",130,"Gnp",91.00000000000001,"Mapfre",65,"Mapfre",39,"Segurosbanorte",26,"Google News",26,"Allianz",26,"Condusef Gob",26
"aseguradoras en mexico"," 1300","Amis",325,"Segurosdeautos",195,"Cnsf Gob  :8090",130,"Rankia",91.00000000000001,"Google Images",65,"Gnp",39,"Amis",26,"Autocompara",26,"Carmudi",26,"Nadaessegurotusegurosi",26
"seguros medicos"," 880","Metlife",220,"Axa",132,"Mapfre",88,"Gnp",61.60000000000001,"Gnp",44,"Gnp",26.4,"Segurosbanorte",17.6,"Segurossaludbancomer",17.6,"Bbvasegurossalud",17.6,"Segurosatlas",17.6
"compañias de seguros"," 720","Amis",108,"Cnsf Gob  :8090",72,"Cnsf Gob",50.400000000000006,"Wikipedia",36,"Gnp",21.599999999999998,"Google Images",14.4,"Segurosdeautos",14.4,"Indeed",14.4,"Occ",14.4,"Qualitas",14.4
"aseguranza"," 480","Definiciona",120,"Forum Wordreference",72,"Wiktionary",48,"Aberracionesespanglish Blogspot",33.6,"Lexicoon",24,"Grupoaseguranza",14.399999999999999,"Grupoaseguranza",9.6,"Grupoaseguranza",9.6,"Dle Rae",9.6,"Significadode",9.6
"cotizar seguro de vida"," 210","Mapfre",52.5,"Axa",31.5,"Segurosgnp",21,"Segurosmexicoseguros",14.700000000000001,"Metlife",10.5,"Metlife",6.3,"Hsbc",4.2,"Cotizator",4.2,"Banorte",4.2,"Gnp",4.2
