Campaign,Currency,Budget,Language,Networks,Ad group,Max CPC,Keyword,Segmentation,Avg. Monthly Searches (exact match only),Competition,Suggested bid,Impr. share,Organic impr. share,Organic avg. position,In account?,In plan?
Ideas,MXN,,,Google Search,,,,Total - All Devices,256420,,,,,,,
Ideas,,,,,,,,Total - Desktop Only,86780,,,,,,,
Ideas,,,,,,,,Total - Mobile Only,149920,,,,,,,
Ideas,,,,,,,,Total - Tablet Only,19720,,,,,,,
Ideas,MXN,,,,Seed Keywords,,,,,,,,,,,
Ideas,MXN,,,,Seed Keywords,,iphone,,135000,0.18,6.73,,,,N,N
Ideas,MXN,,,,Seed Keywords,,smartphone,,22200,0.46,4.19,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,,,,,,,,,,
Ideas,MXN,,,,Keyword Ideas,,iphone 5,,74000,0.45,1.98,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 4,,49500,0.16,1.83,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,new iphone,,880,0.24,11.99,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 3gs,,1900,0.14,23.58,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,apple iphone,,1000,0.3,6.26,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,smartfone,,110,0.09,,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 3,,8100,0.04,0.86,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 5 price,,170,0.1,6.97,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,apple iphone 4,,110,0.5,3.21,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 3g,,2400,0.15,13.87,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 1,,8100,0.09,56.73,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,celular smartphone,,480,1,4.14,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphones for sale,,50,0.64,9.08,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone deals,,10,0.4,34.21,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone apple,,390,0.29,6.11,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 2,,3600,0.1,51.91,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,smartphone samsung,,1000,0.99,3.15,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 4 price,,90,0.12,18.35,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,cheap iphones,,30,0.29,,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,comprar smartphone,,50,1,4,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,samsung smartphone,,720,0.91,3.85,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 4g,,480,0.27,20.56,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 2g,,1300,0.16,27.94,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,promo��o smartphone,,10,,,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 4 deals,,10,,,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,smartphone barato,,390,1,4.71,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,latest iphone,,30,0.23,3.2,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 4 for sale,,10,0.26,,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,buy iphone,,30,0.4,13.84,,,,N,N
Ideas,MXN,,,,Keyword Ideas,,iphone 5 apple,,110,0.37,9.36,,,,N,N
